date,exposure,r_v30,r_v31,qqq_ret
1987-06-29,1.0226,-0.00190665,-0.00190617,-0.00186000
1987-06-30,1.0226,-0.00780684,-0.00780636,-0.00763000
1987-07-01,1.0226,0.00129397,0.00129445,0.00127000
1987-07-02,1.0226,0.00493429,0.00493478,0.00483000
1987-07-06,1.0226,-0.00728533,-0.00728485,-0.00712000
1987-07-07,1.0226,-0.00684563,-0.00684515,-0.00669000
1987-07-08,1.0226,-0.00199868,-0.00199820,-0.00195000
1987-07-09,1.0226,0.00323684,0.00323732,0.00317000
1987-07-10,1.0226,0.00415714,0.00415763,0.00407000
1987-07-13,1.0226,0.00914725,0.00914773,0.00895000
1987-07-14,1.0226,0.02453682,0.02453730,0.02400000
1987-07-15,1.7596,-0.00152928,-0.00151300,-0.00057000
1987-07-16,1.7596,0.01045273,0.01046900,0.00603000
1987-07-17,1.7596,-0.00168864,-0.00167236,-0.00087000
1987-07-20,1.7596,-0.01812347,-0.01810720,-0.01021000
1987-07-21,1.7596,-0.00615807,-0.00614179,-0.00341000
1987-07-22,1.7596,0.00388935,0.00390563,0.00230000
1987-07-23,1.7596,-0.01947838,-0.01946210,-0.01098000
1987-07-24,1.7596,0.01384879,0.01386507,0.00796000
1987-07-27,1.6255,0.00126601,0.00127941,0.00090000
1987-07-28,1.6255,0.00461662,0.00463003,0.00292000
1987-07-29,1.6255,0.00804649,0.00805990,0.00503000
1987-07-30,1.6255,0.01526384,0.01527725,0.00947000
1987-07-31,1.6255,-0.00186924,-0.00185583,-0.00107000
1987-08-03,1.6255,-0.00928165,-0.00926825,-0.00563000
1987-08-04,1.6255,0.00523433,0.00524773,0.00330000
1987-08-05,1.6255,0.01953898,0.01955239,0.01210000
1987-08-06,1.6255,0.02958476,0.02959816,0.01828000
1987-08-07,1.3850,0.01262457,0.01263282,0.00926000
1987-08-10,1.3850,0.01558404,0.01559229,0.01131000
1987-08-11,1.3850,0.01581948,0.01582773,0.01148000
1987-08-12,1.5450,-0.01001952,-0.01000784,-0.00636000
1987-08-13,1.5450,-0.00448559,-0.00447391,-0.00283000
1987-08-14,1.5450,-0.00011320,-0.00010152,-0.00000000
1987-08-17,1.5450,0.00265238,0.00266406,0.00179000
1987-08-18,1.5450,-0.02195971,-0.02194804,-0.01414000
1987-08-19,1.5450,0.01121176,0.01122344,0.00733000
1987-08-20,1.5450,0.02655376,0.02656544,0.01726000
1987-08-21,1.3894,0.01081778,0.01082613,0.00790000
1987-08-24,1.3894,-0.00727811,-0.00726976,-0.00518000
1987-08-25,1.3894,0.00814452,0.00815286,0.00592000
1987-08-26,1.3894,0.00289249,0.00290083,0.00214000
1987-08-27,1.3894,-0.00349887,-0.00349053,-0.00246000
1987-08-28,1.3894,-0.01184932,-0.01184097,-0.00847000
